content,label
"亲，今天开始做活动，xxx减xx的现金！同时还有商场的活动！我是自然堂小何！淄博茂业店，活动到x号结束！
",1
"广州华驰广告有限公司是广东省内首批提供专业公关服务、文艺演出、展览展示x个全方位综合型事业公司，有需要展位设计搭建、展会演出聚集人气、
",1
"??迎三八，庆元宵??，红袖全体小精灵祝您节日快乐丫！????????x月x/x两天红袖推出超大型特卖活动，??????全场 x.x折
",1
"哥。我换场子到豪士登了。有空来给弟弟捧捧场呗。现在小妹也换了很多新的。质量绝对可以 而且 玩的很开放。这面消费不高。 档次蛮好的。
",1
特大喜讯:华商投资基金xxxx年x月投资的渤海活塞（xxxxxx）定项增发项目，截止x月x日，账面回报已超xxx%;预期将超过xxx%,1
xx日。同时介绍新生报名还可以各享xx元优惠。昂立博佳教育期待更多学员的加入！,1
"亲们祝姐妹们节日快乐为了回馈亲们凯伦诗服装打折全场x.x折起，希望亲们有需要来选够吧机会难得！祝亲们节日快乐！
",1
好消息：头彩为答谢新老顾客的支持，喜迎x.x魅力女人节，凡进店购物满xxx立减xx.买的越多减的越多。活动时间：xxxx年x月x号.到,1
"动】 大品牌！大优惠！大动作！ 价格实实在在一步到位！ 过年要装修的朋友约定你………… 咨询电话:xxxxxxxxxxx  门店地址：
",1
"你好，济南众信大众专营大众全车件，质优价廉。售出配件都有质保，质保期内有问题无条件退货。电话xxxx－xxxxxxxx  xxxxxxxx
",1
"成都六台《快乐验房》栏目携四川标筑装饰x月x日至x月x日针对【马家公馆】征集十套成都最美样板间活动！xx平方仅需xxxxx元高品质精装
",1
你好，我是刚跟你联系的阳光保险的廖辉，x月x号，我们公司推出史上最强的优惠活动，如果车主与被保险人均为女性，优惠更大，xxxx元实物大,1
新起点教育：暖春三月，开学火热报名中！精品课程：魔耳英语；手脑速算；精品数学；作文班；初中英语学习热线：xxxxxxx祝您新年快乐，,1
"先生您好，我是刚刚跟您联系的汉唐文化艺术村的小张。项目位于卓刀泉南路与珞喻路交汇处，卓刀泉中学正对面，均价x—x.x万，x平米起售，欢
",1
各位亲们，提前祝大家节日快乐，x，x，x号搞三天活动，望大家抽出宝贵的时间，来店选购，xx节当天家居产品一律x折，，蓝魅恒彩隔离乳原价,1
"新世界店x周年庆典，《扣扣专柜》新款春装x折，xx年秋冬x.x折，持南百VIP卡送xxx元～xxx元的电子卷。
",1
"各位亲过年好!我们农商行近期承销xx年第一期国债，具体分x年和x年期，利率分别x%和x.xx%，额度有限，现在可以提前预约了。如您感
",1
"大动作看格力，x月x-x日全年最低价。x月x日前，预存xx元抵xxx。 联系人，龚请胜，电话xxxxxxxxxxx
",1
"你好 我是一号家居网的小周 我们公司x月x号在兰博基尼大酒店做一场大型的元宵节活动
",1
"联邦高登发红罗！凡x月x日-x月xx日到店可领取红包，更有买门送柜的优惠活动哦！欢迎新老客户到店领取！ ?时间：x月x日-x月xx日
",1
亲，新玛特一年一度的x.x节活动即将开始，活动日期x月x日~x日，优惠力度大，另外有赠品，有要补的吗？联系我吧！Dior小菲,1
您好，这里是平果县金丰达金融公司，急需用钱，找我们。无抵押信用贷款。财富热线:xxxxxxxxxxx,1
温馨提示：TPR成人口语班开课了，凡在x月xx日前交齐费用可享旧价报读，加报一学期还有价值xxx元礼品赠送哦。抓住机会赶紧行动吧！详询,1
橱柜装修首选华森!   x.xx活动，定金翻倍,1
亲爱的薇姿，理肤泉的美妞们三八的活动来了，x号至x日正价满xxx元立减xx元还可享受x.x折优惠，双倍积分-大家赶紧走向国贸屈臣氏吧，,1
长江上游滨江带，独占两公里一线原生态江岸资源，一线临江，两湖环绕的百万方高端城市综合体。xx-xxx㎡x-x房火爆热销中！,1
您好，x月x号至x号国贸超市百雀羚专柜全场x折，欢迎来选购。,1
"您好，程创财富作为杰出PxP平台，向您推荐年化收益xx%-xx%理财模式，x万起投，投资期限分x个月和xx个月；欢迎您随时来电咨询，祝
",1
春季家博会预定暨汇智xx大鲁班工艺新品上.市时间:x月x日地址:芙蓉中路松桂园汇智装.饰特惠:x千抵x万，还送整套橱柜，全房地板胡帅,1
尊敬的客户：您好，预存xxx送手机请到沈家门西大街xx号，移动指定营业厅办理，详情咨询xxxxxxxxxxx,1
先生您好：    我是新城区上海大众李哲，我们店将在元宵节和女人节双节来临之际特推出双节专场特卖，xx台畅销车开年第一钜惠，比三月车展更大的促销力度，活动现场还会发放免费红包等活动，期待您的光临！            李哲         xxxxxxxxxxx,1
"各位家长及同学:你们好！新学期补习开始报名啦！初中周末补习:每月xx节，学费xxx元本周周末开班非凡刘老师
",1
"为庆祝三一挖机连续四年全国销量第一！即将启动香港IPO！特向全国钜惠x.xx亿感恩回馈！x.送代金劵（x千～x万不等）；x.大挖三年超长保修；x.小挖赠送破碎锤，x.减轻客户压力（首付：小挖x万，中挖xx万，大挖xx万）数量有限！详情垂询xxxxxxxxxxx
",1
"宝马新年冲量，巨惠超过限购前！现货提车。错过再等一年…宝马低息贷款、任何旧车置换可以有购车指标，抢购热线：张国民：xxxxxxxxxxx
",1
先生你好，我是刚联系您办理银行贷款的冯梅枝，我公司主营企业和个人的纯信用贷款 如有任何疑问可致电xxxxxxxxxxx,1
